"state","pix","severe_netneg","pct_netneg","recent_t100","severe_t100"
"DE",42,42,100,42.4,1.6
"MD",133,131,98.5,69.2,18.5
"MO",1650,1601,97,509.4,72.9
"NE",68,64,94.1,21.3,3.8
"FL",1209,1131,93.5,415.9,56.9
"SC",1146,1061,92.6,415.5,68.4
"GA",1557,1435,92.2,616.9,100.7
"KS",63,57,90.5,18.8,3.2
"NC",1324,1192,90,668.1,115.4
"IA",136,121,89,58.4,21.7
"SD",254,226,89,25.2,7.1
"CA",1980,1759,88.8,972.7,172.4
"OK",659,581,88.2,205.6,38.3
"VA",1216,1068,87.8,588.7,194.5
"OR",3504,3012,86,1484.7,554.5
"IL",266,227,85.3,133.1,56.2
"WV",1049,886,84.5,343.8,157.9
"OH",411,343,83.5,337,104.4
"NJ",172,143,83.1,62.4,36.1
"WA",1768,1416,80.1,1077.2,576.6
"KY",758,591,78,403.7,243.3
"AL",1753,1353,77.2,845.3,222.5
"IN",473,362,76.5,180.5,112.9
"MS",1312,997,76,695,156
"AR",1477,1069,72.4,607.1,238.8
"ND",35,25,71.4,8.1,3.9
"ID",1987,1378,69.4,576.1,285.7
"AZ",1941,1308,67.4,159.9,63
"NM",2175,1417,65.1,194.2,115.8
"MT",2310,1253,54.2,602.8,397
"PA",1236,646,52.3,719.6,500
"TN",890,448,50.3,490.3,295.4
"TX",2599,1252,48.2,535.1,279
"RI",23,10,43.5,8.4,7.5
"CT",72,31,43.1,32.6,27.5
"CO",2420,1009,41.7,403.9,323.2
"LA",1117,417,37.3,522.7,292.4
"WY",1768,653,36.9,227.3,183.8
"MA",200,71,35.5,91.7,73.5
"NY",1394,454,32.6,577.6,448.7
"UT",1825,513,28.1,143,125.5
"NV",1125,304,27,60.6,51.3
"NH",631,158,25,193.1,169.4
"VT",599,133,22.2,196.5,173.7
"WI",2533,563,22.2,598.5,516.7
"MN",1874,385,20.5,451.4,383.9
"MI",4043,756,18.7,619.4,527.6
"ME",1959,149,7.6,570.1,533.1
