"state","npix","declined_2x","pct_declined_2x","t0","base_t100","mort2x_t100"
"AZ",1941,1941,100,126.1,123.2,87.6
"CA",1980,1980,100,664.2,637.5,348.5
"CO",2420,2419,100,297.5,114.8,60.7
"ID",1987,1987,100,365.4,151.4,50.1
"MT",2310,2310,100,407.4,191.5,112.4
"NM",2175,2175,100,143.4,75.2,47.8
"NV",1125,1125,100,43.7,39,35.3
"SD",254,254,100,16.4,16.8,8.4
"UT",1825,1825,100,108.7,62.8,46.3
"WY",1768,1768,100,156.5,114.8,69.6
"NE",68,51,75,15.9,32.2,19.7
"WA",1768,1112,62.9,711.1,1228.9,700.4
"OR",3504,190,5.4,992.3,2001.8,1331.7
"DE",42,2,4.8,26.5,60.7,58
"RI",23,1,4.3,6.3,12,7.4
"MN",1874,62,3.3,260.7,675.1,409.4
"MI",4043,59,1.5,384,1124.3,770.8
"MD",133,1,0.8,52.6,143.8,100.2
"AL",1753,0,0,401.1,1711,1603.5
"AR",1477,0,0,368.8,1635.2,1235
"CT",72,0,0,25.3,78.2,50.8
"FL",1209,0,0,222.9,522.2,469.1
"GA",1557,0,0,298.5,1200,999.8
"IA",136,0,0,45.3,118.9,72.5
"IL",266,0,0,99.5,221.4,157.7
"IN",473,0,0,122.3,391.2,311
"KS",63,0,0,12.8,27,21.9
"KY",758,0,0,296.9,1575.4,1320.4
"LA",1117,0,0,235.5,746.6,629.1
"MA",200,0,0,66.5,148.6,96.9
"ME",1959,0,0,312.4,975.6,719.2
"MO",1650,0,0,380.7,980.7,668.4
"MS",1312,0,0,316.3,5275.1,2883.1
"NC",1324,0,0,332.3,964.2,818.9
"ND",35,0,0,4.8,9.2,6.7
"NH",631,0,0,138.1,381.2,307.2
"NJ",172,0,0,43.8,122.1,77.7
"NY",1394,0,0,388.2,971.9,723
"OH",411,0,0,191.5,659.2,543.4
"OK",659,0,0,137.8,684.3,361.1
"PA",1236,0,0,479,1252.1,974.8
"SC",1146,0,0,224.1,704.1,633.1
"TN",890,0,0,283.6,991.2,734.2
"TX",2599,0,0,283.5,1041.9,857.7
"VA",1216,0,0,336.4,1024.5,864.7
"VT",599,0,0,139.1,374.5,293.1
"WI",2533,0,0,384.2,1251.6,963.3
"WV",1049,0,0,256.7,645.3,545.1
