"state","n","reserved_share","planted_share","harvested_share"
"AL",26959,0.0022,0.2563,0.099
"AZ",11520,0.0751,0.0027,0.1037
"AR",23381,0.0213,0.1575,0.1036
"CA",10957,0.1686,0.0404,0.0728
"CO",9018,0.1185,0.0011,0.0541
"CT",1195,0.0159,0.0109,0.0251
"DE",427,0.0304,0.0913,0.0422
"FL",26467,0.0229,0.3044,0.0605
"GA",44671,0.0084,0.282,0.0751
"ID",9703,0.1514,0.0204,0.12
"IL",5114,0.0636,0.0385,0.0358
"IN",6257,0.0471,0.0462,0.0463
"IA",2105,0.0637,0.009,0.0428
"KS",3324,0.0123,0.0126,0.0072
"KY",7646,0.0192,0.0076,0.0595
"LA",14587,0.0093,0.2517,0.1394
"ME",17649,0.0242,0.0202,0.1198
"MD",1614,0.1035,0.0805,0.0273
"MA",2188,0.042,0.005,0.0283
"MI",43456,0.0467,0.0564,0.0397
"MN",50011,0.045,0.0339,0.0262
"MS",20496,0.0051,0.261,0.1357
"MO",16334,0.0377,0.0123,0.0578
"MT",11264,0.1392,0.0082,0.1299
"NE",1286,0.0272,0.0373,0.0288
"NV",5005,0.1315,4e-04,0.0166
"NH",4667,0.0641,0.0039,0.0639
"NJ",1827,0.1084,0.0055,0.0208
"NM",9702,0.0695,0.0028,0.1148
"NY",12324,0.1435,0.0424,0.0637
"NC",27414,0.0143,0.1512,0.0509
"ND",875,0.072,0.0206,0.0011
"OH",4665,0.0469,0.0403,0.0667
"OK",7328,0.015,0.0948,0.0599
"OR",21627,0.0551,0.1683,0.0919
"PA",10965,0.0452,0.0352,0.0699
"RI",408,0.0245,0.0049,0.0294
"SC",27956,0.0053,0.2135,0.0637
"SD",1981,0.0146,0.0278,0.1116
"TN",13748,0.0268,0.0533,0.0466
"TX",25244,0.009,0.1355,0.0969
"UT",9352,0.0993,0.0036,0.0595
"VT",4411,0.0623,0.0052,0.0435
"VA",23525,0.0182,0.1502,0.0338
"WA",11821,0.0805,0.1745,0.0831
"WV",7373,0.0444,0.0084,0.0363
"WI",34733,0.025,0.062,0.0703
"WY",4171,0.2848,0.0029,0.0674
