"state","saw_vol_frac","pulp_vol_frac","saw_bio_frac","pulp_bio_frac","res_bio_frac"
"AL",0.531,0.469,0.191,0.32,0.489
"AR",0.588,0.412,0.213,0.307,0.48
"AZ",0.642,0.358,0.141,0.166,0.693
"CA",0.896,0.104,0.5,0.117,0.383
"CO",0.659,0.341,0.249,0.182,0.569
"CT",0.625,0.375,0.295,0.26,0.446
"DE",0.632,0.368,0.274,0.264,0.462
"FL",0.44,0.56,0.099,0.428,0.473
"GA",0.557,0.443,0.187,0.341,0.472
"IA",0.536,0.464,0.2,0.303,0.497
"ID",0.804,0.196,0.334,0.275,0.391
"IL",0.627,0.373,0.218,0.328,0.453
"IN",0.652,0.348,0.252,0.319,0.429
"KS",0.425,0.575,0.053,0.462,0.485
"KY",0.573,0.427,0.29,0.256,0.454
"LA",0.616,0.384,0.197,0.357,0.446
"MA",0.641,0.359,0.309,0.252,0.439
"MD",0.671,0.329,0.283,0.278,0.439
"ME",0.469,0.531,0.165,0.235,0.6
"MI",0.466,0.534,0.164,0.339,0.497
"MN",0.367,0.633,0.102,0.338,0.56
"MO",0.484,0.516,0.195,0.3,0.505
"MS",0.595,0.405,0.23,0.318,0.452
"MT",0.676,0.324,0.257,0.303,0.44
"NC",0.597,0.403,0.17,0.362,0.468
"ND",0.356,0.644,0.078,0.361,0.561
"NE",0.508,0.492,0.124,0.381,0.495
"NH",0.547,0.453,0.245,0.261,0.493
"NJ",0.617,0.383,0.29,0.244,0.466
"NM",0.761,0.239,0.153,0.174,0.673
"NV",0.718,0.282,0.038,0.04,0.922
"NY",0.566,0.434,0.255,0.276,0.469
"OH",0.625,0.375,0.311,0.239,0.45
"OK",0.416,0.584,0.13,0.308,0.562
"OR",0.893,0.107,0.575,0.098,0.326
"PA",0.6,0.4,0.284,0.26,0.456
"RI",0.617,0.383,0.294,0.25,0.456
"SC",0.522,0.478,0.155,0.383,0.462
"SD",0.661,0.339,0.251,0.259,0.491
"TN",0.556,0.444,0.247,0.287,0.465
"TX",0.604,0.396,0.21,0.29,0.5
"UT",0.656,0.344,0.112,0.188,0.7
"VA",0.553,0.447,0.184,0.34,0.475
"VT",0.546,0.454,0.255,0.28,0.465
"WA",0.869,0.131,0.553,0.123,0.324
"WI",0.457,0.543,0.171,0.32,0.508
"WV",0.632,0.368,0.276,0.278,0.447
"WY",0.687,0.313,0.164,0.381,0.455
