"state","hybrid_t100","recal_t100","delta_Tg","delta_pct"
"GA",353.6,618.1,264.4,74.8
"AL",586.9,845.8,258.9,44.1
"TN",248,490.5,242.5,97.8
"PA",497.2,721.4,224.2,45.1
"FL",199,417.6,218.6,109.8
"AR",392.6,610.5,217.9,55.5
"WI",395.5,599.7,204.2,51.6
"TX",328.9,531.4,202.4,61.5
"LA",325.4,520.8,195.3,60
"MS",502.7,696,193.2,38.4
"SC",218.6,409.7,191.1,87.4
"WA",881.8,1067.5,185.8,21.1
"OR",1285.9,1469.5,183.5,14.3
"MI",439.2,620,180.8,41.2
"NC",494.4,663.2,168.9,34.2
"KY",242.2,407.2,165,68.1
"ME",410.6,569.7,159.1,38.7
"VA",446.1,591,144.9,32.5
"MN",312.9,450.8,137.9,44.1
"ID",443.8,570.4,126.6,28.5
"WV",235,345.7,110.7,47.1
"NY",470.2,580.6,110.4,23.5
"CA",850.9,955.5,104.5,12.3
"MT",493,596.4,103.4,21
"MO",417.6,518.7,101.1,24.2
"OH",254,343.9,89.9,35.4
"OK",136.4,207.3,70.9,52
"IN",112.7,181,68.3,60.6
"IL",75.7,138.5,62.9,83.1
"CO",344.6,401.8,57.2,16.6
"VT",144.5,197.2,52.7,36.5
"NH",143,193.7,50.8,35.5
"MD",41.1,69.3,28.2,68.5
"IA",33.7,59.7,26,77.3
"NM",169.4,192.5,23.1,13.6
"NJ",41.2,62.3,21.1,51.1
"WY",207.4,225.3,17.9,8.6
"MA",75.4,92,16.6,22
"UT",126.2,142,15.8,12.5
"AZ",149.2,159.2,10,6.7
"KS",9.7,18.7,9,92.2
"CT",25.4,32.6,7.2,28.2
"NE",15,22.1,7.1,47.8
"SD",19.6,26,6.4,32.7
"NV",54.3,60.6,6.3,11.7
"RI",3,8.4,5.4,181.7
"DE",40.7,42.5,1.8,4.5
"ND",6.6,8.3,1.7,25.2
