"state","scenario","y0_Mg_ha","y50_Mg_ha","delta_Mg_ha","delta_vs_HIST"
"MN","BAU",204.13,244.92,40.79,43.86
"MN","HIST",204.13,201.06,-3.07,0
"MN","RH",204.13,212.12,7.99,11.06
"MN","RH_CC",204.13,219.7,15.57,18.64
"MN","WARM_HIST",204.13,199.84,-4.29,-1.22
"OR","BAU",390.14,392.4,2.26,89.19
"OR","HIST",390.14,303.22,-86.93,0
"OR","RH",390.14,313.48,-76.66,10.27
"OR","RH_CC",390.14,321.63,-68.51,18.42
"OR","WARM_HIST",390.14,291.35,-98.79,-11.86
"CA","BAU",301.06,283.97,-17.09,57.58
"CA","HIST",301.06,226.39,-74.67,0
"CA","RH",301.06,233.27,-67.79,6.88
"CA","RH_CC",301.06,238.68,-62.38,12.29
"CA","WARM_HIST",301.06,218.21,-82.86,-8.19
"MD","BAU",210.75,245.21,34.46,60.19
"MD","HIST",210.75,185.03,-25.73,0
"MD","RH",210.75,199.18,-11.58,14.15
"MD","RH_CC",210.75,208.36,-2.39,23.34
"MD","WARM_HIST",210.75,185.03,-25.73,0
"PA","BAU",206.94,249.44,42.5,33.61
"PA","HIST",206.94,215.83,8.89,0
"PA","RH",206.94,223.78,16.84,7.95
"PA","RH_CC",206.94,229.05,22.11,13.22
"PA","WARM_HIST",206.94,214.71,7.77,-1.12
"WA","BAU",346.93,344.36,-2.57,74.6
"WA","HIST",346.93,269.76,-77.17,0
"WA","RH",346.93,278.32,-68.62,8.55
"WA","RH_CC",346.93,285.05,-61.89,15.28
"WA","WARM_HIST",346.93,260.04,-86.9,-9.73
